config,rpt,mean_test_score,std_test_score,activation,alpha,hidden_layer_sizes,max_iter,solver,train_cpu_duration,train_runtime_duration,train_cpu_meter_result,train_dram_meter_result,test_cpu_duration,test_runtime_duration,test_cpu_meter_result,test_dram_meter_result,test_accuracy_result
0,0,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,934.100086236,58.46005129814148,4998026329.0,0,2412.531942758,150.80994606018066,12878005728.0,0,0.6439076973672191
0,1,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,934.6158111389959,58.40842914581299,5019598661.0,0,2439.4656644649804,152.45584106445312,13066203305.0,0,0.6439076973672191
0,2,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,920.6121620360063,57.53357553482056,4954979077.0,0,2421.0591760100797,151.30588102340698,12998794481.0,0,0.6439076973672191
0,3,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,941.9821892159525,58.86928129196167,5057097162.0,0,2481.559048031224,155.08704590797424,13296103046.0,0,0.6439076973672191
0,4,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,935.8713948689401,58.48729610443115,5018578279.0,0,2399.332707193913,149.9474000930786,12834957376.0,0,0.6439076973672191
0,5,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,933.0450964409392,58.31049180030823,5006436829.0,0,2393.6556517798454,149.5927951335907,12809322617.0,0,0.6439076973672191
0,6,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,901.1775780431926,56.319217920303345,4829197477.0,0,2384.2375903902575,149.00491189956665,12762809795.0,0,0.6439076973672191
0,7,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,929.6760194548406,58.099950075149536,4993009069.0,0,2449.3202233109623,153.071950674057,13117101124.0,0,0.6439076973672191
0,8,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,935.4747143420391,58.4625928401947,5036645370.0,0,2443.1265510912053,152.68573379516602,13099397251.0,0,0.6439076973672191
0,9,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,933.4268892239779,58.33439755439758,5015622720.0,0,2450.8356477729976,153.1662814617157,13120191815.0,0,0.6439076973672191
0,10,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,934.0744361751713,58.37482190132141,-257126427266.0,0,2453.873217620421,153.35621285438538,13139377314.0,0,0.6439076973672191
0,11,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,907.9489278793335,56.74200510978699,4874694675.0,0,2435.942610576749,152.23533368110657,13055159937.0,0,0.6439076973672191
0,12,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,919.3303677076474,57.45363235473633,4925127346.0,0,2404.0332925999537,150.32567739486694,12852925714.0,0,0.6439076973672191
0,13,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,935.8495743088424,58.48557782173157,5014241558.0,0,2419.975671914406,151.23781895637512,12944644534.0,0,0.6439076973672191
0,14,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,927.2454996360466,57.94828987121582,4971742033.0,0,2436.3445171210915,152.26148867607117,13038229562.0,0,0.6439076973672191
0,15,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,925.4644001424313,57.83673644065857,4974279014.0,0,2435.112828625366,152.1834797859192,13058078021.0,0,0.6439076973672191
0,16,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,916.860630556941,57.299060583114624,4913946466.0,0,2407.038624946028,150.43003058433533,12881351545.0,0,0.6439076973672191
0,17,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,931.1695062993094,58.19314122200012,4984548946.0,0,2435.884204178117,152.23209023475647,13014544381.0,0,0.6439076973672191
0,18,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,917.7778654079884,57.35665273666382,4920208962.0,0,2401.2858890723437,150.07043290138245,12841153589.0,0,0.6439076973672191
0,19,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,919.9007674334571,57.48881006240845,4931878854.0,0,2408.0378554426134,150.53888726234436,-249274760964.0,0,0.6439076973672191
0,20,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,932.8777548158541,58.30003523826599,-257141754191.0,0,2424.2071556504816,151.50261640548706,12956570163.0,0,0.6439076973672191
0,21,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,907.1938746534288,56.694947242736816,4866140619.0,0,2440.212590638548,152.5027780532837,13068246514.0,0,0.6439076973672191
0,22,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,933.3182471804321,58.32746911048889,5011948778.0,0,2426.4866148587316,151.64435839653015,-249129295088.0,0,0.6439076973672191
0,23,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,895.5840898621827,55.96959614753723,4802011694.0,0,2400.481072543189,150.02056097984314,12850077760.0,0,0.6439076973672191
0,24,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,895.2590276561677,55.94904923439026,4812565743.0,0,2421.745176868513,151.3485927581787,12983336941.0,0,0.6439076973672191
0,25,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,930.3776937425137,58.14402461051941,5002850291.0,0,2439.2902053240687,152.4459583759308,13094497850.0,0,0.6439076973672191
0,26,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,917.5285182800144,57.34071588516235,4910980836.0,0,2384.7859466038644,149.03819823265076,12747486410.0,0,0.6439076973672191
0,27,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,935.2690820004791,58.44974875450134,5011350940.0,0,2407.7639136034995,150.47468614578247,12870856882.0,0,0.6439076973672191
0,28,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,921.889477821067,57.61309242248535,4944900183.0,0,2410.924202580005,150.6721510887146,12898859557.0,0,0.6439076973672191
0,29,0.6441593524601688,0.0006790550509931767,logistic,0.0005,"(50,)",200,sgd,971.5815448239446,60.71879458427429,5200700432.0,0,2433.901709560305,152.10842418670654,13006752347.0,0,0.6439076973672191
1,0,0.6575760517987506,0.001284794023619904,logistic,0.0005,"(50,)",200,adam,2431.6778429779997,151.96715927124023,13006699369.0,0,2417.6664036480006,151.15736031532288,12926062064.0,0,0.6601684541318765
1,1,0.6575760517987506,0.001284794023619904,logistic,0.0005,"(50,)",200,adam,2402.076524449978,150.11706042289734,12907674782.0,0,2441.201175072987,152.56403851509094,13091807488.0,0,0.6601684541318765
1,2,0.6575760517987506,0.001284794023619904,logistic,0.0005,"(50,)",200,adam,2409.6693740020273,150.59162092208862,12975623460.0,0,2422.0704874820076,151.3685019016266,13009631794.0,0,0.6601684541318765
1,3,0.6575760517987506,0.001284794023619904,logistic,0.0005,"(50,)",200,adam,2426.621561727952,151.65091252326965,13043289302.0,0,2452.3840609048493,153.2634892463684,13142532884.0,0,0.6601684541318765
1,4,0.6575760517987506,0.001284794023619904,logistic,0.0005,"(50,)",200,adam,2434.85361662996,152.16527152061462,-249060986181.0,0,2399.900673721917,149.98305583000183,12849124821.0,0,0.6601684541318765
1,5,0.6575760517987506,0.001284794023619904,logistic,0.0005,"(50,)",200,adam,2415.5448967611883,150.95875477790833,12969450136.0,0,2394.43347440497,149.6412959098816,12812291053.0,0,0.6601684541318765
1,6,0.6575760517987506,0.001284794023619904,logistic,0.0005,"(50,)",200,adam,2345.367105766665,146.57345366477966,12580955158.0,0,2383.639301086776,148.96733236312866,12757828851.0,0,0.6601684541318765
1,7,0.6575760517987506,0.001284794023619904,logistic,0.0005,"(50,)",200,adam,2411.3896978623234,150.69942545890808,12963376786.0,0,2450.2025058320723,153.12718605995178,13138815486.0,0,0.6601684541318765
