epoch,acc,loss,val_acc,val_loss
0,0.6571779847145081,0.8616485595703125,0.645666778087616,0.9123148918151855
1,0.709168553352356,0.7373400926589966,0.6353262066841125,0.9443365931510925
2,0.7227123379707336,0.7030612826347351,0.6461257934570312,0.9332036972045898
3,0.738048255443573,0.6641735434532166,0.6519144773483276,0.8874504566192627
4,0.7496638894081116,0.6356097459793091,0.6713205575942993,0.8364382386207581
5,0.757163941860199,0.6173622608184814,0.6415228843688965,0.930766224861145
6,0.763731837272644,0.6021244525909424,0.6733988523483276,0.8553767800331116
7,0.7686407566070557,0.5906717777252197,0.6790855526924133,0.8329976201057434
8,0.773073673248291,0.5806320905685425,0.6783077716827393,0.8874934911727905
9,0.7756237387657166,0.574105978012085,0.5875377655029297,1.1684582233428955
10,0.7787617444992065,0.5668838620185852,0.6832676529884338,0.8284699320793152
11,0.7812438607215881,0.5610072612762451,0.689655601978302,0.8167345523834229
12,0.7830827236175537,0.5562534332275391,0.6893368363380432,0.8275409936904907
13,0.7846807837486267,0.5519721508026123,0.6745973825454712,0.8549099564552307
14,0.7866429686546326,0.5468459725379944,0.6798378229141235,0.8519279956817627
15,0.7882537245750427,0.5435280203819275,0.6263881921768188,1.0452897548675537
16,0.7899127006530762,0.5403043627738953,0.5808565616607666,1.7327945232391357
17,0.7983095645904541,0.5199428200721741,0.6478471159934998,0.9048425555229187
18,0.7997900247573853,0.5169599652290344,0.6778870224952698,0.8545393347740173
19,0.8005324006080627,0.514410674571991,0.7051218152046204,0.7700498104095459
20,0.8013767600059509,0.5122530460357666,0.6571421027183533,0.8864390850067139
21,0.8021219372749329,0.5108810067176819,0.6960052847862244,0.8129795789718628
22,0.8028969168663025,0.5095106363296509,0.6081806421279907,1.1285924911499023
23,0.80292809009552,0.5078111886978149,0.6715883016586304,0.883763313293457
24,0.8039126992225647,0.5064400434494019,0.6961838006973267,0.8244262337684631
25,0.8082222938537598,0.49585509300231934,0.6811255812644958,0.8683103322982788
26,0.8091658353805542,0.49432867765426636,0.6801438331604004,0.8475381731987
27,0.8094690442085266,0.49349328875541687,0.6618725061416626,0.9225987792015076
28,0.8098699450492859,0.49246343970298767,0.6851547360420227,0.8408040404319763
29,0.810258150100708,0.49168339371681213,0.6717157959938049,0.8905577659606934
30,0.812136709690094,0.48642921447753906,0.6871693134307861,0.8292633891105652
31,0.8123463988304138,0.4858070909976959,0.6765354871749878,0.8592680096626282
32,0.8128492832183838,0.48489823937416077,0.6946537494659424,0.8067157864570618
33,0.8133012652397156,0.4846555292606354,0.6845044493675232,0.8392079472541809
34,0.8133437633514404,0.48478198051452637,0.6830764412879944,0.8359338045120239
35,0.8139529228210449,0.48252877593040466,0.6879470348358154,0.8381230235099792
36,0.8139387369155884,0.482649564743042,0.6790727972984314,0.8602963089942932
37,0.8139671087265015,0.48206421732902527,0.6762804388999939,0.8657086491584778
38,0.8138622641563416,0.48197346925735474,0.6843386888504028,0.8490004539489746
39,0.8145833611488342,0.4814934730529785,0.6834461688995361,0.8408743739128113
