"","config","activation","alpha","hidden_layer_sizes","max_iter","solver","rpt","mean_test_score","std_test_score","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","DominanceCount","PF"
"477",874,"tanh",5e-04,"(2,)",800,"adam",14.5,0.642338830584708,0.0133146939358412,0.828303853486432,0.828238129615784,47885894,0,0.119316523021553,0.119306445121765,6912030.5,0,0.71875,0,1
"972",692,"tanh",0.002,"(5,)",400,"lbfgs",14.5,0.651229385307346,0.058107579239822,0.213321518996963,0.213306188583374,12324614,0,0.128158437484672,0.128147125244141,7410472.5,0,0.765625,0,1
"1101",1079,"tanh",1e-04,"(5,)",800,"lbfgs",14.5,0.659850074962519,0.0439374398293368,0.344923602475319,0.344895601272583,19960825,0,0.121131127012632,0.121126294136047,7014020.5,0,0.734375,0,1
"1116",695,"tanh",0.002,"(5,)",800,"lbfgs",14.5,0.651214392803598,0.0544963467191271,0.418224313953033,0.418184638023376,24181029.5,0,0.128798165009357,0.128790974617004,7443096,0,0.817708333333333,0,1
"1350",675,"tanh",0.002,"(2,)",200,"sgd",14.5,0.654512743628186,0.0349468283806404,0.147052804517443,0.147039651870728,8500924.5,0,0.113043700024718,0.113033890724182,6538283,0,0.640625,0,1
