"","config","activation","alpha","hidden_layer_sizes","max_iter","solver","rpt","mean_test_score","std_test_score","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","DominanceCount","PF"
"168",1024,"tanh",2e-04,"(100,)",200,"adam",14.5,0.972727272727273,0.0222680885707561,0.15512413849865,0.155109882354736,8882087.5,0,0.231688291503815,0.231671810150146,13226558,0,0.973684210526316,0,1
"483",778,"tanh",0.001,"(2,)",800,"adam",14.5,0.981818181818182,0.0222680885707561,0.339746925501231,0.339720964431763,19465251.5,0,0.130598749998171,0.130589127540588,7495311.5,0,0.947368421052632,0,1
"722",1661,"relu",1e-04,"(10,)",200,"lbfgs",14.5,0.954545454545454,0.0497929597731969,0.0219303149933694,0.0219289064407349,1256741.5,0,0.176030760499998,0.176015019416809,10045109.5,0,1,0,1
"813",1073,"tanh",1e-04,"(5,)",200,"lbfgs",14.5,0.963636363636364,0.0340150671524904,0.0882135239953641,0.0882500410079956,5066362.5,0,0.134854299999461,0.134842276573181,7776529.5,0,1,0,1
"876",1184,"relu",0.001,"(10,)",400,"lbfgs",14.5,0.945454545454546,0.0668042657122685,0.0199030514995684,0.0199018716812134,1143612.5,0,0.176551862998167,0.176538228988647,10107762.5,0,1,0,1
"1046",1643,"relu",1e-04,"(2,)",800,"lbfgs",14.5,0.364426877470356,0.0782229316757401,0.00314489450101973,0.00314509868621826,172546.5,0,0.168510685496585,0.168497562408447,9634039.5,0,0.236842105263158,0,1
