"","config","activation","alpha","hidden_layer_sizes","max_iter","solver","rpt","mean_test_score","std_test_score","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","DominanceCount","PF"
"47",193,"logistic",0.001,"(2,)",100,"adam",14.5,0.34901185770751,0.0810189911482622,0.0459209084947361,0.0459209680557251,2542871.5,0,0.130786879001789,0.130780816078186,7386944,0,0.342105263157895,0,1
"54",673,"tanh",0.002,"(2,)",100,"adam",14.5,0.635573122529644,0.0782229316757401,0.0462061329926655,0.0462049245834351,2579401,0,0.130970349506242,0.130964636802673,7444438.5,0,0.763157894736842,0,1
"484",106,"logistic",0.002,"(2,)",800,"adam",14.5,0.688142292490119,0.161632534352354,0.337171256993315,0.337139844894409,19299633,0,0.130205831497733,0.130194425582886,7438488.5,0,0.605263157894737,0,1
"904",392,"logistic",2e-04,"(2,)",400,"lbfgs",14.5,0.911067193675889,0.0780269590973696,0.0974819170014598,0.0975056886672974,5570939.5,0,0.130159029999959,0.130147457122803,7462658,0,1,0,1
"1348",99,"logistic",0.002,"(2,)",200,"sgd",14.5,0.393280632411067,0.106338068643156,0.0778180220049762,0.0778110027313232,4440876,0,0.130111648497405,0.130100011825562,7437481,0,0.447368421052632,0,1
