"","config","activation","alpha","hidden_layer_sizes","max_iter","solver","rpt","mean_test_score","std_test_score","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","DominanceCount","PF"
"20",67,"relu",1e-04,"(100,)",400,"adam",14,0.665904381419252,0.00108587594069841,2270.72595915338,141.909112215042,12182988496,0,3449.85596908908,215.616300940514,18536750275.5,0,0.66638042862624,0,1
"35",51,"relu",5e-04,"(50,)",400,"adam",14.5,0.665761263595193,0.000914115508576949,1298.85519660171,81.1717827320099,6971761144,0,1546.24746176705,96.6338529586792,8330283423,0,0.665302468346336,0,1
"38",64,"relu",1e-04,"(100,)",200,"sgd",14.5,0.650480973707078,0.0006518903055025,1211.61659486825,75.7198110818863,6529862616.5,0,1787.83078341978,111.733064651489,9654928163.5,0,0.650740869311019,0,1
"39",40,"tanh",1e-04,"(100,)",200,"sgd",14,0.6458128377454,0.000692297617042655,746.296396887861,46.6395869255066,4020276877,0,3472.1687841299,311.082281112671,21104754748,0,0.645086145469826,0,1
"41",52,"relu",5e-04,"(100,)",200,"sgd",15,0.650487064072875,0.000652009186906946,1211.93524312694,75.7397420406342,6530599310,0,1826.4845173955,114.148186683655,9906601166,0,0.650750004567628,0,1
"50",60,"relu",1e-04,"(50,)",200,"sgd",14.5,0.650206912856107,0.000373991641532424,842.289394340012,52.6386400461197,4518259155,0,859.196022794815,53.6964149475098,4666381852.5,0,0.649927831472786,0,1
"51",36,"tanh",1e-04,"(50,)",200,"sgd",14.5,0.646537568928375,0.000950202729759195,810.953592980746,50.6804044246674,4333192916.5,0,2773.40165046137,173.324712514877,14815265387.5,0,0.646757897429339,0,1
"53",48,"relu",5e-04,"(50,)",200,"sgd",14.5,0.650213003268267,0.000377117799155036,849.040044947062,53.0604449510574,4537096996.5,0,874.850372978719,54.6746652126312,4761947862,0,0.649918696216177,0,1
