"","config","activation","alpha","hidden_layer_sizes","max_iter","solver","rpt","mean_test_score","std_test_score","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","DominanceCount","PF"
"669",1070,"tanh",1e-04,"(5,)",100,"lbfgs",14.5,0.656386806596702,0.0487889428453395,0.0618285070522688,0.0618269443511963,3596578.5,0,0.131043464502,0.131107807159424,7563152,0,0.739583333333333,0,1
"682",110,"logistic",0.002,"(5,)",100,"lbfgs",14.5,0.644197901049475,0.0443979046045334,0.0553158430266194,0.0553110837936401,3197623,0,0.133452603007981,0.133440732955933,7699931.5,0,0.71875,0,1
"722",1661,"relu",1e-04,"(10,)",200,"lbfgs",14.5,0.730899550224888,0.034357650628808,0.128367304991116,0.128359317779541,7411144,0,0.159419688920025,0.159438967704773,9194435,0,0.776041666666667,0,1
"737",1277,"relu",0.002,"(10,)",200,"lbfgs",14.5,0.698035982008996,0.03452745945631,0.137119163497118,0.137106776237488,7927561,0,0.159652238537092,0.159647107124329,9227577,0,0.791666666666667,0,1
"872",1472,"relu",5e-04,"(10,)",400,"lbfgs",14.5,0.750059970014992,0.0312257683273001,0.208028190420009,0.208016157150269,12020355,0,0.159113390982384,0.159099340438843,9221718,0,0.796875,0,1
"911",200,"logistic",0.001,"(2,)",400,"lbfgs",14.5,0.654512743628186,0.0349468283806404,0.00338099348300602,0.00338137149810791,204864.5,0,0.118985899491236,0.118975639343262,6880384,0,0.640625,0,1
"1116",695,"tanh",0.002,"(5,)",800,"lbfgs",14.5,0.651214392803598,0.0544963467191271,0.418224313953033,0.418184638023376,24181029.5,0,0.128798165009357,0.128790974617004,7443096,0,0.817708333333333,0,1
