"","config","activation","alpha","hidden_layer_sizes","max_iter","solver","rpt","mean_test_score","std_test_score","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","DominanceCount","PF"
"143",1333,"relu",0.002,"(500,)",100,"adam",14.5,0.972727272727273,0.0222680885707561,2.39249024649325,0.149528622627258,12868710.5,0,5.71506510750623,0.357170224189758,30607557.5,0,0.973684210526316,0,1
"483",778,"tanh",0.001,"(2,)",800,"adam",14.5,0.981818181818182,0.0222680885707561,0.339746925501231,0.339720964431763,19465251.5,0,0.130598749998171,0.130589127540588,7495311.5,0,0.947368421052632,0,1
"589",1370,"relu",0.001,"(10,)",100,"lbfgs",14.5,0.945454545454546,0.0668042657122685,0.0198301420005009,0.0198290348052979,1144437,0,0.175633992490475,0.175618290901184,10043706,0,1,0,1
"813",1073,"tanh",1e-04,"(5,)",200,"lbfgs",14.5,0.963636363636364,0.0340150671524904,0.0882135239953641,0.0882500410079956,5066362.5,0,0.134854299999461,0.134842276573181,7776529.5,0,1,0,1
"866",1664,"relu",1e-04,"(10,)",400,"lbfgs",14.5,0.954545454545454,0.0497929597731969,0.0219059039900458,0.021904468536377,1259366.5,0,0.176474739491823,0.176458954811096,10070958,0,1,0,1
"1052",1451,"relu",5e-04,"(2,)",800,"lbfgs",14.5,0.364426877470356,0.0782229316757401,0.00313732000358868,0.00313770771026611,185516,0,0.169940937999854,0.169938564300537,9738927.5,0,0.236842105263158,0,1
