"","config","activation","alpha","hidden_layer_sizes","max_iter","solver","rpt","mean_test_score","std_test_score","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","DominanceCount","PF"
"20",67,"relu",1e-04,"(100,)",400,"adam",14,0.665904381419252,0.00108587594069841,2270.72595915338,141.909112215042,12182988496,0,3449.85596908908,215.616300940514,18536750275.5,0,0.66638042862624,0,1
"35",51,"relu",5e-04,"(50,)",400,"adam",14.5,0.665761263595193,0.000914115508576949,1298.85519660171,81.1717827320099,6971761144,0,1546.24746176705,96.6338529586792,8330283423,0,0.665302468346336,0,1
"50",60,"relu",1e-04,"(50,)",200,"sgd",14.5,0.650206912856107,0.000373991641532424,842.289394340012,52.6386400461197,4518259155,0,859.196022794815,53.6964149475098,4666381852.5,0,0.649927831472786,0,1
"51",36,"tanh",1e-04,"(50,)",200,"sgd",14.5,0.646537568928375,0.000950202729759195,810.953592980746,50.6804044246674,4333192916.5,0,2773.40165046137,173.324712514877,14815265387.5,0,0.646757897429339,0,1
"53",48,"relu",5e-04,"(50,)",200,"sgd",14.5,0.650213003268267,0.000377117799155036,849.040044947062,53.0604449510574,4537096996.5,0,874.850372978719,54.6746652126312,4761947862,0,0.649918696216177,0,1
"57",42,"tanh",1e-04,"(100,)",400,"sgd",16,0.6458128377454,0.000692297617042655,748.372563268058,46.7693779468536,4013568584,0,3471.39086792246,311.176183223724,21091247764,0,0.645086145469826,0,1
"59",54,"relu",5e-04,"(100,)",400,"sgd",15.5,0.650487064072875,0.000652009186906946,1212.49549238046,75.7744297981262,6526071276,0,1823.26668073609,113.947474002838,9900156388,0,0.650750004567628,0,1
"60",30,"tanh",5e-04,"(100,)",400,"sgd",14.5,0.645806747611417,0.000687025534842902,747.201891127508,46.6962329149246,4012927379,0,3470.37936651241,310.933815717697,21045017383,0,0.645086145469826,0,1
